adult,genre_ids,original_title,popularity,vote_average,vote_count,release_date,genre
False,"[27, 35, 10749]",I Love Your Knife!,1.108,2.0,1,2023-05-17,horror
False,"[27, 53, 9648]",Follower,1.089,2.0,1,2023-05-15,horror
False,"[35, 27, 14]",¡Bukraken!,1.285,2.0,1,2023-05-15,horror
False,[27],Contaminated Reflection,1.028,9.0,1,2023-05-14,horror
False,"[53, 878, 27]",The Happening: Scuffle,0.927,8.0,1,2023-05-13,horror
False,[27],Cam Closer II,1.408,6.0,1,2023-05-13,horror
False,[27],The Mount 2,731.315,2.0,1,2023-05-12,horror
False,"[27, 53]",The Trial,1.109,2.0,1,2023-05-11,horror
False,"[16, 14, 28, 27, 878]",A Triplets Tale,1.478,1.5,2,2023-05-10,horror
False,"[27, 35]",My House Is Haunted,0.802,10.0,1,2023-05-09,horror
False,[27],DONT WATCH,0.856,5.5,2,2023-05-08,horror
False,"[53, 27, 35]",Blinded Rage,0.76,7.0,1,2023-05-07,horror
False,"[27, 35]",Mega Bed Rise,0.767,10.0,2,2023-05-06,horror
False,"[27, 53]",Look Killa,0.803,10.0,2,2023-05-05,horror
False,[27],Hell of a Night,0.712,10.0,1,2023-05-05,horror
False,"[53, 9648, 18, 27]",Uno para morir,73.788,6.5,109,2023-05-05,horror
False,"[53, 80, 9648, 27]",जैक्सन हाल्ट,1.09,7.0,1,2023-05-05,horror
False,"[14, 27]",FANTATERROR,1.04,2.0,1,2023-05-04,horror
False,[27],Quicksand,1.03,10.0,1,2023-05-03,horror
False,[27],Estridor,1.226,6.0,2,2023-05-03,horror
False,[27],Paige Mayfair's Guide To Power,0.679,10.0,1,2023-05-03,horror
False,[27],Foreshadow,1.156,2.0,1,2023-05-02,horror
False,"[27, 9648, 53, 35, 878]",Caviar,3.875,2.5,2,2023-05-02,horror
False,"[27, 35]",Profondo,1.349,10.0,1,2023-05-02,horror
False,[27],Undeaducated,6.07,7.3,3,2023-05-01,horror
False,"[27, 878, 35]",Keratyna,0.939,2.0,1,2023-05-01,horror
False,"[27, 10749]",Unrequited,0.624,10.0,1,2023-04-30,horror
False,"[27, 9648, 53]",U-Turn,2.542,4.9,4,2023-04-28,horror
False,"[27, 878]",T Blockers,0.967,2.3,2,2023-04-28,horror
False,[27],Kill Her Goats,6.539,1.0,1,2023-04-28,horror
False,[27],Hell's Half Acre,1.183,2.0,1,2023-04-28,horror
False,[27],Stay Out of the Basement,5.659,2.5,2,2023-04-28,horror
False,"[53, 27]",Los Habitantes,2.9,5.0,3,2023-04-27,horror
False,"[35, 27]",ผีฮา คนเฮ,0.953,1.0,1,2023-04-27,horror
False,[27],Kinderfanger,1.262,4.3,3,2023-04-27,horror
False,"[27, 53]",The Black Demon,1751.838,6.3,102,2023-04-26,horror
False,[27],Christinas World,0.6,10.0,1,2023-04-26,horror
False,"[27, 18]",Uninvited,0.6,10.0,1,2023-04-25,horror
False,"[27, 35, 10749, 9648]",ΑΛΥΤΕΣ ΥΠΟΘΕΣΕΙΣ,0.812,10.0,1,2023-04-25,horror
False,"[99, 27]",Tem algo estranho com a minha avó,1.4,4.0,1,2023-04-24,horror
False,"[27, 35]",The Cobbler,0.6,10.0,2,2023-04-23,horror
False,"[27, 53]",Bury the Bride,2.087,3.8,4,2023-04-22,horror
False,[27],Íntima,1.394,2.0,1,2023-04-22,horror
False,"[35, 27]",Stay Alone,0.84,10.0,1,2023-04-22,horror
False,"[27, 53]",The Tank,65.121,4.9,25,2023-04-21,horror
False,"[27, 10749]",നീലവെളിച്ചം,2.524,4.5,2,2023-04-20,horror
False,"[9648, 53, 27, 14]",విరూపాక్ష,10.584,8.0,8,2023-04-20,horror
False,"[27, 9648]",Sewu Dino,6.901,7.5,5,2023-04-19,horror
False,[27],Khanzab,6.09,6.0,1,2023-04-19,horror
False,"[18, 27]",Pyggie,1.628,10.0,1,2023-04-19,horror
False,[27],The Astral Woods,1.96,5.0,1,2023-04-18,horror
False,[27],Juego de brujas,1.16,2.0,1,2023-04-18,horror
False,"[53, 27, 9648]",Half Sisters,3.513,2.0,1,2023-04-16,horror
False,[27],A Strange and Terrible Dream,0.766,7.0,2,2023-04-16,horror
False,[27],Soul Proprietor,1.4,7.0,1,2023-04-16,horror
False,"[28, 27]",破茧之王者归来,0.6,1.0,1,2023-04-16,horror
False,"[12, 28, 35, 27]",Limpa ja unemaailm,1.17,10.0,1,2023-04-15,horror
False,[27],Red Velvet,0.73,7.0,1,2023-04-15,horror
False,"[27, 14]",SAM IS AFRAID,0.754,10.0,1,2023-04-15,horror
False,"[27, 9648, 53]",Dark Entities,1.409,2.0,1,2023-04-14,horror
False,"[37, 27]",Organ Trail,79.503,6.6,12,2023-04-14,horror
False,"[27, 53]",Nefarious,47.475,6.4,7,2023-04-14,horror
False,"[35, 27, 53]",Fenómenas,48.302,5.9,88,2023-04-14,horror
False,[27],HIMS,0.6,7.0,2,2023-04-14,horror
False,"[53, 27]",Dizzy,0.698,10.0,1,2023-04-14,horror
False,"[18, 27, 53]",Amor,1.366,2.0,1,2023-04-13,horror
False,"[27, 53]",ปลุกพยนต์,1.439,1.0,1,2023-04-12,horror
False,"[27, 18]",Hector's Hell House,1.4,9.0,1,2023-04-12,horror
False,[27],The Innsmouth School for Girls,0.877,2.0,1,2023-04-11,horror
False,"[878, 27]",Alien Invasion,7.456,1.5,2,2023-05-11,horror
False,"[28, 27]",黄河异闻录,0.985,5.5,2,2023-04-11,horror
False,"[53, 27]",Crimson Forest,0.616,5.2,5,2023-04-11,horror
False,"[27, 53, 28, 9648]",You’re Killing Me,17.356,5.0,2,2023-04-07,horror
False,[27],Marry F*** Kill,4.543,2.0,1,2023-04-07,horror
False,[27],Return of Punch and Judy,1.331,6.0,9,2023-04-07,horror
False,"[35, 27, 53]",Summoning Sylvia,4.17,10.0,1,2023-04-07,horror
False,[27],Carne,0.6,2.0,1,2023-04-07,horror
False,[27],Kutukan Cakar Monyet,0.796,3.5,1,2023-04-06,horror
False,"[27, 9648]",Monkey Man,0.6,10.0,1,2023-04-06,horror
False,[27],Buenos Aires BZ,0.696,2.0,1,2023-04-06,horror
False,"[53, 27]",Dinner,0.84,10.0,1,2023-04-06,horror
False,"[27, 53]",The Pope's Exorcist,805.566,7.3,1337,2023-04-05,horror
False,[27],Death By Desire,5.031,10.0,1,2023-04-05,horror
False,"[27, 18, 53]",บ้านเช่า..บูชายัญ,20.873,6.4,5,2023-04-06,horror
False,[27],Ripper's Revenge,109.061,6.2,23,2023-04-03,horror
False,"[27, 53]",Unfinished Business,0.84,2.0,1,2023-04-01,horror
False,"[27, 18]",Wintertide,0.702,4.0,1,2023-04-01,horror
False,"[27, 53]",FUMO,1.4,10.0,1,2023-04-01,horror
False,"[27, 878, 35]",Capsules,3.406,2.0,1,2023-03-31,horror
False,"[27, 878]",Murderbot,1.596,5.7,3,2023-03-31,horror
False,"[27, 35, 53]",El sonido de la muerte,0.6,1.0,1,2023-03-31,horror
False,"[27, 53]",Trim Season,0.84,3.0,1,2023-03-31,horror
False,[27],Malum,319.807,6.3,25,2023-03-31,horror
False,"[27, 53]",गैसलाइट,2.978,5.7,9,2023-03-31,horror
False,"[28, 27]",Sabung Raptor,1.4,10.0,1,2023-03-31,horror
False,"[27, 9648]",The Epicure,0.6,10.0,1,2023-03-31,horror
False,"[27, 53]",Michael Lives Alone,0.843,8.7,6,2023-03-31,horror
False,"[14, 9648, 27, 10749]",One White Feather,0.6,10.0,1,2023-03-31,horror
False,"[27, 18]",Trinket Box,3.682,10.0,1,2023-03-31,horror
False,[27],Tulah 6/13,1.555,2.5,1,2023-03-30,horror
False,[27],Pantafa,2.067,3.5,2,2023-03-30,horror
False,[27],Tulah 6/13,1.555,2.5,1,2023-03-30,horror
False,[27],Pantafa,2.067,3.5,2,2023-03-30,horror
False,"[27, 18, 80, 53, 14, 9648]",Christmas Slasher,1.531,10.0,1,2023-03-29,horror
False,"[27, 53]",Clock,109.315,5.9,99,2023-03-28,horror
False,"[35, 27, 14]",Renfield,306.562,6.9,591,2023-04-07,horror
False,"[27, 10402, 14]",Devil Music,0.6,5.0,2,2023-03-28,horror
False,"[12, 27, 35, 10751]",Mi Maestra se comió a mi amigo,22.102,6.7,27,2023-03-29,horror
False,"[10749, 27, 14, 18]",落头氏之吻 2,9.983,5.5,2,2023-03-30,horror
False,"[27, 35]",Cut!,0.6,10.0,1,2023-03-27,horror
False,"[35, 27]",What A Trap,0.632,10.0,1,2023-03-26,horror
False,[27],Pool Party,0.6,8.0,2,2023-03-26,horror
False,[27],Trivia,0.6,6.0,1,2023-03-24,horror
False,"[27, 35]",Movie Theater Massacre,0.84,5.0,1,2023-03-24,horror
False,"[80, 18, 27, 9648]",Tinsman Road,0.918,2.0,1,2023-03-24,horror
False,"[27, 53, 9648]",Tin & Tina,537.654,6.0,142,2023-03-24,horror
False,"[53, 14, 27]",Voyager,0.6,2.0,1,2023-03-23,horror
False,[27],Jin Qorin,0.84,1.0,1,2023-03-23,horror
False,"[35, 27]",Hantu Baru,1.176,5.0,1,2023-03-23,horror
False,"[9648, 53, 27]",Dead-Line,0.677,10.0,1,2023-03-23,horror
False,"[18, 27, 9648]",The Unheard,5.403,4.4,8,2023-03-22,horror
False,"[28, 27, 35, 878]",The James Allen Vianes Show,0.84,10.0,1,2023-03-18,horror
False,[27],The Ghost Within,1.375,2.0,1,2023-03-17,horror
False,"[35, 27]",கோஸ்டி,2.17,4.5,2,2023-03-17,horror
False,[27],Сергий против нечисти: Шабаш,1.176,10.0,1,2023-03-16,horror
False,[27],Losmen Melati,0.639,8.0,1,2023-03-16,horror
False,[27],Медея,1.176,1.0,1,2023-03-16,horror
False,"[53, 27]",Evil Dead Rise,1148.359,7.1,1538,2023-04-12,horror
False,[27],Iblis Dalam Darah,0.84,3.0,1,2023-03-16,horror
False,[27],From Black,182.855,5.7,13,2023-03-15,horror
False,"[27, 35]",Shingles the Movie,0.6,9.0,1,2023-03-14,horror
False,"[27, 53]",Brooklyn 45,6.105,8.5,2,2023-03-12,horror
False,"[27, 53]",Raging Grace,0.84,9.0,1,2023-03-12,horror
False,"[28, 80, 27, 53]",The Wrath of Becky,10.61,6.0,1,2023-05-26,horror
False,"[27, 80, 53]",Little Bone Lodge,5.216,8.1,8,2023-03-11,horror
False,"[16, 14, 27, 28, 9648]",Batman: The Doom That Came to Gotham,173.416,6.6,93,2023-03-10,horror
False,[27],This Land,0.951,2.0,1,2023-03-10,horror
False,[27],Seeds of Satan,0.653,3.0,1,2023-03-10,horror
False,"[27, 99, 53]",Something Walks in the Woods,3.612,6.5,2,2023-03-10,horror
False,[27],Seeds of Satan,0.653,3.0,1,2023-03-10,horror
False,[27],Perjanjian Gaib,0.976,3.5,1,2023-03-09,horror
False,"[27, 12]",Pulau,1.703,6.0,1,2023-03-09,horror
False,[27],Godless: The Eastfield Exorcism,2.932,8.7,3,2023-03-08,horror
False,[27],หุ่นพยนต์,6.975,1.0,1,2023-03-09,horror
False,"[18, 53, 27]",ReBroken,1.595,2.0,1,2023-03-07,horror
False,"[27, 9648, 53]",Unseen,7.167,6.1,20,2023-03-07,horror
False,"[18, 9648, 53, 27]",My House,8.03,3.0,2,2023-03-07,horror
False,"[27, 37]",Ghost Town,1.029,2.0,1,2023-03-07,horror
False,"[27, 53]",Homewrecker,0.84,2.0,1,2023-03-07,horror
False,"[27, 53]",Braek,0.796,5.0,1,2023-03-05,horror
False,[27],Portmanteau,0.6,2.0,1,2023-03-05,horror
False,[27],Ghost Webcam,0.606,2.0,1,2023-03-04,horror
False,"[27, 53]",PAKTA,0.6,10.0,1,2023-03-04,horror
False,"[27, 53, 37]",Homestead,85.992,4.8,8,2023-03-03,horror
False,"[9648, 99, 27]",The Sounds of 7am,0.853,10.0,1,2023-03-03,horror
False,"[27, 53]",The Burial,0.934,2.0,1,2023-03-03,horror
False,"[35, 27]",பல்லு படாம பாத்துக்க,1.558,3.3,2,2023-03-03,horror
False,"[27, 53]",Sound of Silence,5.412,5.1,8,2023-03-02,horror
False,"[28, 18, 27, 878, 53]",The Park,117.428,5.9,44,2023-03-02,horror
False,"[80, 27, 53]",Craving,4.451,5.0,2,2023-03-01,horror
False,"[27, 9648]",Horror in the High Desert 2: Minerva,4.617,5.0,7,2023-03-01,horror
False,"[27, 18]",Irritación,0.6,2.0,1,2023-03-01,horror
False,"[27, 35]",Book of Creatures,1.066,3.0,1,2023-03-01,horror
False,"[27, 14]",Rèd,0.852,7.5,1,2023-03-01,horror
False,[27],The Things We Cannot Change,0.639,2.0,1,2023-02-27,horror
False,[27],The Revenge,0.6,10.0,1,2023-02-27,horror
False,"[27, 35]",Interview,0.6,2.0,1,2023-02-25,horror
False,[27],The Farmhouse,0.6,6.0,1,2023-02-25,horror
False,[27],Wolf Garden,7.556,4.0,3,2023-02-23,horror
False,[27],Pesugihan: Bersekutu dengan Iblis,1.122,3.0,1,2023-02-23,horror
False,"[27, 53, 35]",Separate Symposia,0.6,10.0,1,2023-02-23,horror
False,"[27, 53, 35, 10402]",Nerdy Prudes Must Die,3.296,10.0,1,2023-02-22,horror
False,"[27, 10749]",The Huldra,0.6,6.0,2,2023-02-22,horror
False,"[27, 35]",Return of the Demojordan,1.288,6.5,8,2023-02-20,horror
False,[27],Perpetrator,3.343,5.0,1,2023-02-17,horror
False,[27],Free to a Bad Home,4.302,2.0,1,2023-02-17,horror
False,[27],The Murderer,0.6,2.0,1,2023-02-16,horror
False,"[27, 53]",The Resurrection of Charles Manson,6.713,4.1,7,2023-03-16,horror
False,[27],Anak Haram Pantai Selatan,0.626,10.0,1,2023-02-16,horror
False,[27],Para Betina Pengikut Iblis,0.84,7.0,2,2023-02-16,horror
False,[27],Valentine Bluffs,1.91,3.0,1,2023-02-14,horror
False,[27],Medusa's Venom,3.137,2.0,1,2023-02-14,horror
False,[27],Be My Valentine,1.226,2.0,1,2023-02-13,horror
False,"[27, 53]",Starling,0.6,10.0,1,2023-02-12,horror
False,[27],Tell Me You're Sorry,0.6,6.0,1,2023-02-12,horror
False,[27],Guts on The Chainsaw,1.96,2.0,1,2023-02-11,horror
False,"[27, 18]",KU,0.6,2.0,1,2023-02-11,horror
False,[27],Doomsday Stories,1.12,6.0,1,2023-02-10,horror
False,"[27, 53]",La Marca de la Bestia,1.284,2.0,1,2023-02-10,horror
False,"[53, 27, 9648]",Disquiet,44.882,6.8,29,2023-02-10,horror
False,"[27, 9648]",Don't Blink,0.84,8.4,5,2023-02-10,horror
False,[27],Waktu Maghrib,21.526,6.6,12,2023-02-09,horror
False,"[27, 53]",Consecration,83.499,6.2,48,2023-02-09,horror
False,[27],House of Inequity,3.935,2.5,2,2023-02-10,horror
False,"[27, 9648]",The Fearway,13.553,4.6,14,2023-02-07,horror
False,[27],Blood Harvest,4.603,7.0,3,2023-02-07,horror
False,"[99, 10770, 27]",The Devil's Academy,5.339,2.0,1,2023-02-05,horror
False,"[27, 35]",Wet Floor,0.804,10.0,2,2023-02-05,horror
False,"[53, 27]",Intima Violare,0.6,10.0,1,2023-02-04,horror
False,"[27, 53]",Pillow Party Massacre,3.744,3.0,2,2023-02-03,horror
False,"[27, 53]",The Lost Chronicles,0.616,2.0,1,2023-02-03,horror
False,"[35, 27]",രോമാഞ്ചം,2.152,7.8,13,2023-02-03,horror
False,[27],Wake,0.6,8.0,1,2023-02-03,horror
False,"[9648, 27, 53]",마루이 비디오,7.925,5.1,8,2023-02-01,horror
False,"[53, 27, 18]",R BnB,2.084,7.9,17,2023-02-08,horror
False,"[27, 14]",Bulto,0.6,6.0,2,2023-02-01,horror
False,"[53, 27]",Dollhouse,0.84,2.0,1,2023-01-31,horror
False,"[27, 53, 9648]",Knock at the Cabin,176.58,6.4,1520,2023-02-01,horror
False,"[27, 53, 9648]",Knock at the Cabin,176.58,6.4,1520,2023-02-01,horror
False,"[27, 53]",The Tortured and the Hare,0.6,10.0,1,2023-01-28,horror
False,[27],Dark Lullabies: An Anthology by Michael Coulombe,1.501,2.0,1,2023-01-27,horror
False,"[27, 53]",Winnie the Pooh: Blood and Honey,203.884,5.7,627,2023-01-27,horror
False,[27],Abyzou: Taker of Children,1.799,6.0,2,2023-01-27,horror
False,[27],Fear,8.335,5.3,12,2023-01-27,horror
False,"[27, 53]",Abstraction Lethologica,0.6,10.0,1,2023-01-27,horror
False,[27],Mangkujiwo 2,5.307,7.0,1,2023-01-26,horror
False,"[27, 53]",Red Pages: Part I,0.889,10.0,1,2023-01-26,horror
False,[27],Cabin Tales,0.982,2.0,1,2023-01-26,horror
False,"[53, 27]",Waking Karma,1.277,2.7,3,2023-01-26,horror
False,"[27, 53]",The Goblin Downstairs,1.064,10.0,1,2023-01-26,horror
False,"[27, 878]",Serpentine,0.646,9.0,3,2023-01-25,horror
False,"[35, 27, 10402]",The Good People of Orphan Ridge,1.22,2.0,1,2023-01-25,horror
False,"[27, 35]",Onyx the Fortuitous and the Talisman of Souls,4.579,7.0,2,2023-01-23,horror
False,"[53, 27]",AliEN0089,0.6,2.0,1,2023-01-23,horror
False,"[14, 27, 10749]",My Animal,3.694,4.0,1,2023-01-23,horror
False,"[27, 878, 53]",Infinity Pool,23.727,6.4,267,2023-01-27,horror
False,"[27, 9648, 12]",Brujería,2.479,3.7,3,2023-01-21,horror
False,"[14, 27, 878]",Divinity,8.166,8.5,2,2023-01-21,horror
False,"[27, 28, 12, 9648, 53, 18]",Bermuda Island,2.787,3.3,3,2023-01-20,horror
False,"[9648, 53, 27, 18]",Snow Angel,4.099,5.0,2,2023-01-20,horror
False,"[35, 27]",Kutsal Damacana 4,1.755,3.3,2,2023-01-20,horror
False,"[18, 27]",In My Mother's Skin,2.291,9.3,2,2023-01-20,horror
False,[27],A Folded Ocean,1.033,6.0,1,2023-01-20,horror
False,"[27, 53]",Road Trip,0.6,6.0,1,2023-01-20,horror
False,"[27, 9648]",Run Rabbit Run,5.936,4.0,1,2023-01-19,horror
False,[27],Bayi Ajaib,4.433,4.7,5,2023-01-19,horror
False,[27],The King In Yellow,0.619,2.0,1,2023-01-18,horror
False,[27],Snow Falls,8.877,4.7,26,2023-01-17,horror
False,"[27, 9648, 53]",There's Something Wrong with the Children,55.751,6.0,107,2023-01-17,horror
False,[27],La chose derrière la porte,0.754,10.0,1,2023-01-16,horror
False,[27],Trauma Kills.,0.6,2.0,1,2023-01-15,horror
False,"[35, 27]",The Demojordan Strikes back,0.6,10.0,1,2023-01-15,horror
False,"[14, 27]",The Kid and the Camera,1.034,5.5,2,2023-01-15,horror
False,[27],Island of the Dolls,409.115,5.5,24,2023-01-13,horror
False,"[27, 53]",Devil Beneath,4.597,4.6,10,2023-01-13,horror
False,"[27, 53]",Victoria : Ek Rahasya,1.79,2.0,1,2023-01-13,horror
False,[27],Rewilding,1.129,2.0,1,2023-01-13,horror
False,"[27, 18]",Hidayah,2.878,6.0,1,2023-01-12,horror
False,"[27, 53]",솔캠,0.815,4.0,1,2023-01-12,horror
False,[27],El paquete,0.786,2.0,1,2023-01-11,horror
False,[27],Evil Lurks,1.96,6.0,2,2023-01-07,horror
False,"[53, 9648, 27]",纸人回魂,5.39,7.3,4,2023-01-06,horror
False,[27],The Haunting of Julia Fields,0.84,4.5,2,2023-01-05,horror
False,[27],Alena: Anak Ratu Iblis,0.6,3.0,1,2023-01-05,horror
False,"[35, 27]",Amityville Death Toilet,0.748,2.0,1,2023-01-05,horror
False,"[28, 27]",生死环线,2.483,4.8,8,2023-01-05,horror
False,"[27, 14, 10749, 53, 9648]",The Skull and the Arm,0.767,2.0,1,2023-01-05,horror
False,"[53, 18, 27]",Puisi Cinta Yang Membunuh,1.889,6.0,2,2023-01-05,horror
False,[27],5G: The Reckoning,2.219,1.3,2,2023-01-03,horror
False,[27],The 3rd Guest,2.929,6.9,8,2023-01-03,horror
False,[27],The Mummy Resurrection,80.029,6.7,29,2023-01-02,horror
False,[27],Doll Killer 3,1.377,2.0,1,2023-01-01,horror
False,[27],Jeruzalem 2,7.375,4.0,4,2023-01-01,horror
False,"[27, 9648]",Terror Train 2,2.606,5.8,7,2022-12-31,horror
False,"[27, 18]",The Chosen One,0.84,10.0,1,2022-12-31,horror
False,"[35, 27]",The Milk's Gone Bad,0.6,7.0,1,2022-12-30,horror
False,[27],"KKN di Desa Penari: Luwih Dowo, Luwih Medeni",4.82,2.0,1,2022-12-29,horror
False,"[27, 18]",Kiddo,0.84,5.0,2,2022-12-29,horror
False,"[53, 27, 18]",REVOLVER,0.6,7.3,3,2022-12-28,horror
False,"[27, 35, 12, 28, 53]",Carter,1.123,5.5,2,2022-12-27,horror
False,"[53, 27, 18]",Stalemate,0.6,10.0,1,2022-12-26,horror
False,[27],The Winter Witch,3.538,2.3,4,2022-12-26,horror
False,"[27, 53]",Home For X-Mas,0.84,10.0,1,2022-12-25,horror
False,"[27, 53]",Deleter,3.841,3.9,7,2022-12-25,horror
False,"[27, 53]",Krampen,1.4,7.0,1,2022-12-24,horror
False,[27],真・事故物件パート2／全滅,1.135,7.0,2,2022-12-23,horror
False,"[27, 35]",Rewind 2: 1996,0.84,8.3,7,2022-12-23,horror
False,"[27, 28, 53]",Do Not Enter 2,0.735,2.0,1,2022-12-23,horror
False,"[53, 28, 18, 27]",Đảo Độc Đắc - Tử Mẫu Thiên Linh Cái,6.099,5.9,20,2022-12-23,horror
False,"[27, 9648]",Shape,1.085,10.0,1,2022-12-23,horror
False,"[27, 10770]",A Ghost Story for Christmas: Count Magnus,1.62,7.0,1,2022-12-23,horror
False,"[27, 53]",Soul Casket,0.84,3.0,1,2022-12-22,horror
False,"[28, 53, 27, 12, 14]",僵尸山雀,1.29,2.0,1,2022-12-22,horror
False,"[27, 18, 9648]",Tumbal Kanjeng Iblis,0.943,6.8,2,2022-12-22,horror
False,"[27, 53]",கனெக்ட்,1.517,9.0,2,2022-12-22,horror
False,"[27, 35]",Scare Package II: Rad Chad’s Revenge,6.135,6.1,11,2022-12-22,horror
False,"[27, 53]",கனெக்ட்,1.517,9.0,2,2022-12-22,horror
False,[27],Snow Globe,1.883,5.5,2,2022-12-20,horror
False,"[27, 18]",Ni Aquí Ni Allá,0.6,3.5,2,2022-12-19,horror
False,[27],Night of the Axe,4.591,3.5,2,2022-12-19,horror
False,"[14, 27]",WWW,0.6,10.0,1,2022-12-17,horror
False,"[53, 27]",The Apology,6.578,6.7,41,2022-12-16,horror
False,[27],The 12 Slays of Christmas,0.84,9.0,2,2022-12-16,horror
False,[27],Lullaby,298.368,5.7,30,2022-12-16,horror
False,"[35, 27, 10749, 53]",Undying,0.84,2.0,1,2022-12-16,horror
False,"[27, 35]",Camp Murder,1.081,6.0,1,2022-12-16,horror
False,[27],Saving Grace,1.093,3.0,1,2022-12-16,horror
False,"[27, 80]",Bleach,4.934,4.0,1,2022-12-15,horror
False,[27],Tem Alguém em Casa?,0.84,10.0,1,2022-12-15,horror
False,"[27, 18, 35]",Додому,0.6,3.0,1,2022-12-15,horror
False,"[18, 27]",DON'T,0.84,9.0,1,2022-12-15,horror
False,"[53, 27, 878]",Animus,0.6,10.0,2,2022-12-14,horror
False,"[27, 14, 878, 53, 12, 10749]",FIN,0.6,10.0,1,2022-12-14,horror
False,"[53, 27, 878]",Animus,0.6,10.0,2,2022-12-14,horror
False,"[27, 80, 9648, 53, 18]",Rec,5.049,2.5,4,2022-12-13,horror
False,"[35, 27]",The Christmas Tapes,3.97,1.0,1,2022-12-12,horror
False,[27],The Little Helpers,0.6,9.0,1,2022-12-12,horror
False,"[27, 9648]",Dr. Gift,1.351,2.0,1,2022-12-12,horror
False,"[18, 27, 10749, 53]",I’m No Longer Here,0.6,8.0,1,2022-12-12,horror
False,"[35, 27, 878]",Adult Swim Yule Log (aka The Fireplace),4.444,6.4,16,2022-12-11,horror
False,"[27, 53]",Feng Shui,0.6,6.0,1,2022-12-11,horror
False,"[27, 53]",It Stands Still,0.84,10.0,1,2022-12-11,horror
False,[27],Night Hunt,0.776,3.0,1,2022-12-10,horror
False,"[27, 53]",Play Dead,275.102,6.5,65,2022-12-09,horror
False,"[27, 18]",O Corpo Aberto,22.162,4.5,2,2022-12-09,horror
False,"[27, 53]",Blurr,3.112,4.0,5,2022-12-09,horror
False,"[9648, 27]",The Death of April,3.213,4.0,1,2022-12-09,horror
False,[27],#Float,3.351,5.2,6,2022-12-09,horror
False,"[27, 35]",SOMETHING IS SERIOUSLY WRONG WITH TYLER,0.84,10.0,1,2022-12-09,horror
False,"[18, 27, 14]",Karada,0.6,2.0,1,2022-12-09,horror
False,[27],Streetwalker,1.435,4.5,2,2022-12-09,horror
False,[27],Chatterbox,0.84,2.5,2,2022-12-09,horror
False,"[35, 27, 18, 878]",Stereo Psychosis,0.6,8.5,2,2022-12-08,horror
False,"[53, 27]",Vrote,0.6,10.0,1,2022-12-08,horror
False,"[27, 35]",The Mean One,5.148,7.6,12,2022-12-08,horror
False,"[27, 35]",Deeds of the Dead,0.6,9.5,2,2022-12-08,horror
False,[27],Brønnen,0.6,10.0,1,2022-12-08,horror
False,"[878, 27]",M3GAN,229.092,7.3,2717,2022-12-28,horror
False,[27],Bed Rest,27.018,5.7,33,2022-12-08,horror
False,"[27, 53]",Deinfluencer,31.845,4.8,15,2022-12-06,horror
